4876, 1, swing up, -2.39, -2.78, -2.34, -2.76, -6.90, -3.64, -0.08, 254.40
4882, 1, swing up, -2.39, -2.86, -2.39, -2.78, -0.55, -11.94, -0.09, 254.63
4891, 1, swing up, -2.43, -2.90, -2.39, -2.86, -21.48, -21.48, -0.06, 254.90
4897, 1, swing up, -2.44, -2.97, -2.43, -2.90, -1.47, -11.44, -0.09, 254.62
4903, 1, swing up, -2.48, -2.99, -2.44, -2.97, -5.59, -3.18, -0.09, 254.39
4911, 1, swing up, -2.49, -3.07, -2.48, -2.99, -1.04, -10.68, -0.09, 254.60
4917, 1, swing up, -2.52, -3.10, -2.49, -3.07, -5.88, -4.92, -0.09, 254.44
4923, 1, swing up, -2.54, 3.12, -2.52, -3.10, -2.41, 888.83, -0.09, 229.44
4930, 1, swing up, -2.57, 3.08, -2.54, 3.12, -4.35, -6.84, -0.09, 254.49
4936, 1, swing up, -2.59, 3.03, -2.57, 3.08, -3.52, -7.93, -0.09, 254.52
4942, 1, swing up, -2.61, 2.98, -2.59, 3.03, -3.39, -8.95, -0.09, 254.55
4948, 1, swing up, -2.64, 2.95, -2.61, 2.98, -5.24, -5.75, -0.09, 254.46
4955, 1, swing up, -2.66, 2.89, -2.64, 2.95, -2.21, -6.90, -0.10, 254.49
4961, 1, swing up, -2.69, 2.85, -2.66, 2.89, -4.86, -6.07, -0.09, 254.47
4968, 1, swing up, -2.71, 2.80, -2.69, 2.85, -3.58, -8.44, -0.10, 254.53
4974, 1, swing up, -2.73, 2.76, -2.71, 2.80, -4.09, -7.35, -0.10, 254.50
4980, 1, swing up, -2.76, 2.72, -2.73, 2.76, -4.22, -7.41, -0.10, 254.51
4986, 1, swing up, -2.78, 2.67, -2.76, 2.72, -3.26, -8.31, -0.10, 254.53
4993, 1, swing up, -2.80, 2.62, -2.78, 2.67, -3.51, -5.86, -0.10, 254.46
4999, 1, swing up, -2.82, 2.58, -2.80, 2.62, -2.85, -6.90, -0.10, 254.49
5005, 1, swing up, -2.85, 2.54, -2.82, 2.58, -4.15, -6.33, -0.10, 254.48
5012, 1, swing up, -2.87, 2.50, -2.85, 2.54, -3.90, -6.58, -0.10, 254.48
